Sector System Information:
Running since:               Tue Aug 17 16:58:08 2010
Available Disk Size:         243,351,136 MB
Total File Size:             1,647,949 MB
Total Number of Files:       2210
Total Number of Slave Nodes: 80
------------------------------------------------------------
MASTER_ID IP              PORT
3835      172.31.0.5      6000
------------------------------------------------------------
Total number of clusters:    3
Cluster_ID  Total_Nodes AvailDisk(MB)  FileSize(MB)   NetIn(MB)      NetOut(MB)     
1           24          68,487,536     271,777        353765         342235         
2           27          80,707,584     304,170        378874         356616         
3           29          94,156,008     333,710        380556         396974         
------------------------------------------------------------
SLAVE_ID  Cluster_ID        Status       Address          AvailDisk(MB)  TotalFile(MB)  Mem(MB)     CPU(us)     NetIn(MB)      NetOut(MB)     TS(us)              
3883      2                 normal       172.31.0.99:38059       3,021,744      11,044         0           1118010000  20920          20039          1282133589333722    
3884      2                 normal       172.31.0.95:60556       3,002,500      11,044         0           1157560000  21446          20599          1282133589492220    
3885      2                 normal       172.31.0.71:39129       2,954,145      11,789         0           1149870000  21201          20863          1282133589351218    
3886      2                 normal       172.31.0.90:46629       3,021,616      11,044         0           1150300000  21185          19775          1282133589375258    
3887      3                 normal       172.31.0.13:37824       2,748,991      11,044         0           1150030000  21464          21110          1282133589454078    
3888      3                 normal       172.31.0.135:53072      3,039,644      11,789         0           1160330000  21710          20582          1282133589425479    
3889      3                 normal       172.31.0.19:47939       2,891,128      11,789         0           1145740000  21201          20599          1282133589537108    
3890      3                 normal       172.31.0.20:57433       2,871,154      11,044         0           1151980000  21464          20599          1282133589509178    
3891      3                 warning      172.31.0.137:42854      2,976,837      11,789         0           1137670000  21197          20055          1282133589451537    
3892      3                 normal       172.31.0.97:35710       3,025,298      11,045         0           1139050000  21188          20582          1282133589387685    
3893      3                 normal       172.31.0.139:58808      3,052,557      11,789         0           1179380000  21813          20945          1282133589261045    
3894      3                 normal       172.31.0.148:38833      3,378,309      11,045         0           1152000000  21301          20154          1282133589391205    
3895      3                 normal       172.31.0.152:40390      3,374,603      11,045         0           1191000000  22010          21687          1282133589521686    
3896      3                 normal       172.31.0.151:48753      3,373,847      11,789         0           1196150000  22304          21983          1282133589517234    
3897      3                 normal       172.31.0.143:42626      3,368,320      11,044         0           1164970000  21481          21126          1282133589409916    
3898      3                 normal       172.31.0.157:50193      3,394,079      11,044         0           1172290000  22007          21670          1282133589407446    
3899      3                 normal       172.31.0.153:43160      3,358,766      11,044         0           1147690000  21251          20648          1282133589621241    
3900      3                 notavail     172.31.0.144:36422      3,390,754      11,789         0           1133980000  20396          21670          1282133589441770    
3901      3                 normal       172.31.0.156:52532      3,399,030      11,789         0           1125540000  20363          21390          1282133589354327    
3902      3                 normal       172.31.0.154:53497      3,353,418      11,044         0           1116670000  20116          20582          1282133589470642    
3903      3                 normal       172.31.0.149:44706      3,360,702      11,044         0           1141120000  20646          21917          1282133589404963    
3904      3                 normal       172.31.0.160:42289      3,368,536      11,789         0           1139240000  20396          21670          1282133589397847    
3905      3                 normal       172.31.0.163:59929      3,376,371      11,789         0           1130670000  20383          21670          1282133589472539    
3906      3                 normal       172.31.0.140:33446      3,013,493      11,044         0           1117400000  19907          20895          1282133589340163    
3907      3                 normal       172.31.0.161:47604      3,304,551      11,790         0           1136730000  20367          21637          1282133589472750    
3908      3                 normal       172.31.0.146:53984      3,357,736      11,790         0           1117480000  20106          21110          1282133589330580    
3909      3                 normal       172.31.0.158:52921      3,395,029      11,790         0           1125340000  19858          20863          1282133589416544    
3910      3                 normal       172.31.0.159:52179      3,384,445      11,045         0           1108780000  19856          20319          1282133589409312    
3911      3                 normal       172.31.0.162:33670      3,291,060      11,044         0           1139320000  20133          21126          1282133589332094    
3912      3                 normal       172.31.0.150:60884      3,365,367      11,790         0           1141330000  20167          21176          1282133589491869    
3913      3                 normal       172.31.0.142:43298      3,039,872      11,789         0           1150110000  20643          21917          1282133589451203    
3914      3                 normal       172.31.0.141:52432      3,000,240      11,044         0           1116490000  19872          20335          1282133589424745    
3915      3                 normal       172.31.0.155:33906      3,375,184      11,789         0           1136700000  20119          21110          1282133589434329    

